AAS  198	Directed Group Study           [001] (Chapman)
BGGN 271	Adv Experimental Methods/Bio   [078] (Pilz)
BGGN 271	Adv Experimental Methods/Bio   [079] (Pruneda
BGGN 271	Adv Experimental Methods/Bio   [080] (Purcell)
BGGN 271	Adv Experimental Methods/Bio   [081] (Rana)
BGGN 271	Adv Experimental Methods/Bio   [082] (Schoenberger)
BGGN 271	Adv Experimental Methods/Bio   [083] (Semendeferi)
BGGN 271	Adv Experimental Methods/Bio   [084] (Shtrahman)
BGGN 271	Adv Experimental Methods/Bio   [085] (Shurin)
BGGN 271	Adv Experimental Methods/Bio   [086] (Siegel)
BGGN 271	Adv Experimental Methods/Bio   [087] (Sivagnanam)
BGGN 271	Adv Experimental Methods/Bio   [088] (Traver)
BGGN 271	Adv Experimental Methods/Bio   [089] (Wahlin)
BGGN 271	Adv Experimental Methods/Bio   [090] (Wang)
BGGN 271	Adv Experimental Methods/Bio   [091] (Xu)
BGGN 271	Adv Experimental Methods/Bio   [092] (Yang)
BGGN 271	Adv Experimental Methods/Bio   [093] (Zhang)
BGGN 271	Adv Experimental Methods/Bio   [094] (Zheng)
BGGN 271	Adv Experimental Methods/Bio   [095] (Wang)
BGGN 271	Adv Experimental Methods/Bio   [096] (Chang)
BGGN 271	Adv Experimental Methods/Bio   [097] (Bier)
BGGN 271	Adv Experimental Methods/Bio   [098] (Bode)
BGGN 271	Adv Experimental Methods/Bio   [099] (Chen)
BGGN 271	Adv Experimental Methods/Bio   [100] (Debnath)
BGGN 298	Laboratory Projects in Biology [001] (Lykke
BGGN 299	Thesis Research in Biology     [001] (Ayres)
BGGN 299	Thesis Research in Biology     [002] (Baldwin)
BGGN 299	Thesis Research in Biology     [003] (Bennett)
BGGN 299	Thesis Research in Biology     [004] (Bloodgood)
BGGN 299	Thesis Research in Biology     [005] (Briggs)
BGGN 299	Thesis Research in Biology     [006] (Chalasani)
BGGN 299	Thesis Research in Biology     [007] (Chao)
BGGN 299	Thesis Research in Biology     [008] (Cheresh)
BGGN 299	Thesis Research in Biology     [009] (Cleland)
BGGN 299	Thesis Research in Biology     [010] (Collins)
BGGN 299	Thesis Research in Biology     [011] (Cooper)
BGGN 299	Thesis Research in Biology     [012] (Daneman)
BGGN 299	Thesis Research in Biology     [013] (Daugherty)
BGGN 299	Thesis Research in Biology     [014] (David)
BGGN 299	Thesis Research in Biology     [015] (Dorrestein)
BGGN 299	Thesis Research in Biology     [016] (Dulcis)
BGGN 299	Thesis Research in Biology     [017] (Dutton)
BGGN 299	Thesis Research in Biology     [018] (Ecker)
BGGN 299	Thesis Research in Biology     [019] (Estelle)
BGGN 299	Thesis Research in Biology     [020] (Evans)
BGGN 299	Thesis Research in Biology     [021] (Feng)
BGGN 299	Thesis Research in Biology     [022] (Field)
BGGN 299	Thesis Research in Biology     [023] (Forbes)
BGGN 299	Thesis Research in Biology     [024] (Gage)
BGGN 299	Thesis Research in Biology     [025] (Golden)
BGGN 299	Thesis Research in Biology     [026] (Golden)
BGGN 299	Thesis Research in Biology     [027] (Goldrath)
BGGN 299	Thesis Research in Biology     [028] (Goulding)
BGGN 299	Thesis Research in Biology     [029] (Greenspan)
BGGN 299	Thesis Research in Biology     [030] (Halpain)
BGGN 299	Thesis Research in Biology     [031] (Hampton)
BGGN 299	Thesis Research in Biology     [032] (Hao)
BGGN 299	Thesis Research in Biology     [033] (Hedrick)
BGGN 299	Thesis Research in Biology     [034] (Hetzer)
BGGN 299	Thesis Research in Biology     [035] (Hildebrand)
BGGN 299	Thesis Research in Biology     [036] (Holway)
BGGN 299	Thesis Research in Biology     [037] (Huffaker)
BGGN 299	Thesis Research in Biology     [038] (Hunter)
BGGN 299	Thesis Research in Biology     [039] (Hwa)
BGGN 299	Thesis Research in Biology     [040] (Jin)
BGGN 299	Thesis Research in Biology     [041] (Joseph)
BGGN 299	Thesis Research in Biology     [042] (Jun)
BGGN 299	Thesis Research in Biology     [043] (Kadonaga)
BGGN 299	Thesis Research in Biology     [044] (Kiger)
BGGN 299	Thesis Research in Biology     [045] (Kleinfeld)
BGGN 299	Thesis Research in Biology     [046] (Kohn)
BGGN 299	Thesis Research in Biology     [047] (Komiyama)
BGGN 299	Thesis Research in Biology     [048] (Kryazhimskiy)
BGGN 299	Thesis Research in Biology     [049] (Kurle)
BGGN 299	Thesis Research in Biology     [050] (Law)
BGGN 299	Thesis Research in Biology     [051] (Lemke)
BGGN 299	Thesis Research in Biology     [052] (Leutgeb)
BGGN 299	Thesis Research in Biology     [053] (Leutgeb)
BGGN 299	Thesis Research in Biology     [054] (Lim)
BGGN 299	Thesis Research in Biology     [055] (Lu)
BGGN 299	Thesis Research in Biology     [056] (Lundblad)
BGGN 299	Thesis Research in Biology     [057] (Lykke
BGGN 299	Thesis Research in Biology     [058] (Mayfield)
BGGN 299	Thesis Research in Biology     [059] (Mobley)
BGGN 299	Thesis Research in Biology     [060] (Morris)
BGGN 299	Thesis Research in Biology     [061] (Murre)
BGGN 299	Thesis Research in Biology     [062] (Nieh)
BGGN 299	Thesis Research in Biology     [063] (Niwa)
BGGN 299	Thesis Research in Biology     [064] (Opella)
BGGN 299	Thesis Research in Biology     [065] (O'Shea)
BGGN 299	Thesis Research in Biology     [066] (Palsson)
BGGN 299	Thesis Research in Biology     [067] (Pasquinelli)
BGGN 299	Thesis Research in Biology     [068] (Patrick)
BGGN 299	Thesis Research in Biology     [069] (Pekkurnaz Banghart)
BGGN 299	Thesis Research in Biology     [070] (Pfaff)
BGGN 299	Thesis Research in Biology     [071] (Pillus)
BGGN 299	Thesis Research in Biology     [072] (Pogliano)
BGGN 299	Thesis Research in Biology     [073] (Pogliano)
BGGN 299	Thesis Research in Biology     [074] (Pruneda
BGGN 299	Thesis Research in Biology     [075] (Reck
BGGN 299	Thesis Research in Biology     [076] (Rifkin)
BGGN 299	Thesis Research in Biology     [077] (Rosenfeld)
BGGN 299	Thesis Research in Biology     [078] (Saghatelian)
BGGN 299	Thesis Research in Biology     [079] (Schroeder)
BGGN 299	Thesis Research in Biology     [080] (Sharpee)
BGGN 299	Thesis Research in Biology     [081] (Shaw)
BGGN 299	Thesis Research in Biology     [082] (Shurin)
BGGN 299	Thesis Research in Biology     [083] (Spitzer)
BGGN 299	Thesis Research in Biology     [084] (Su)
BGGN 299	Thesis Research in Biology     [085] (Suel)
BGGN 299	Thesis Research in Biology     [086] (Troemel)
BGGN 299	Thesis Research in Biology     [087] (Verma)
BGGN 299	Thesis Research in Biology     [088] (Wang)
BGGN 299	Thesis Research in Biology     [089] (Wasserman)
BGGN 299	Thesis Research in Biology     [090] (Wilhelm)
BGGN 299	Thesis Research in Biology     [091] (Xu)
BGGN 299	Thesis Research in Biology     [092] (Yang)
BGGN 299	Thesis Research in Biology     [093] (Yelon)
BGGN 299	Thesis Research in Biology     [094] (Zhang)
BGGN 299	Thesis Research in Biology     [095] (Zheng)
BGGN 299	Thesis Research in Biology     [096] (Zid)
BGGN 299	Thesis Research in Biology     [097] (Zuniga)
BGGN 299	Thesis Research in Biology     [098] (Montminy)
BGGN 299	Thesis Research in Biology     [099] (Roy)
BGGN 299	Thesis Research in Biology     [100] (Lauberth)
BGGN 500	Intro to College Bio Ed        [A00] (Cooke)
BGGN 500	Intro to College Bio Ed        [B00] (Cooke)
BGGN 500	Intro to College Bio Ed        [C00] (Cooke)
BGGN 502	Evid. Based Teach/Learn Bio    [A00] (Smith)
BGGN 504	Scholarship Teach/Learn Bio    [A00] (Cooke)
BGRD 225	Rsrch Discus/Genetic Variation [A00] (Rifkin)
BGSE 200	Seminar in Biology             [A00] (Lykke
BGSE 205	Graduate Research Seminar      [A00] (Lykke
BGSE 205	Graduate Research Seminar      [B00] (Lykke
BGSE 205	Graduate Research Seminar      [C00] (Lykke
BGSE 205	Graduate Research Seminar      [D00] (Lykke
BGSE 205	Graduate Research Seminar      [E00] (Lykke
BGSE 205	Graduate Research Seminar      [F00] (Lykke
BGSE 205	Graduate Research Seminar      [G00] (Lykke
BGSE 205	Graduate Research Seminar      [H00] (Lykke
BGSE 205	Graduate Research Seminar      [I00] (Lykke
BGSE 205	Graduate Research Seminar      [J00] (Lykke
BGSE 205	Graduate Research Seminar      [K00] (Lykke
BIBC 100	Structural Biochemistry        [A00] (Huffaker)
BIBC 102	Metabolic Biochemistry         [A00] (Schmelz)
BIBC 102	Metabolic Biochemistry         [B00] (Hampton)
BIBC 103	Biochemical Techniques         [A00] (Soowal)
BIBC 103	Biochemical Techniques         [B00] (Coleman)
BIBC 103	Biochemical Techniques         [C00] (Mohan)
BIBC 120	Nutrition                      [A00] (Crawford)
BICD 100	Genetics                       [A00] (Day)
BICD 100	Genetics                       [B00] (McDonnell)
BICD 110	Cell Biology                   [A00] (Teodorof)
BIEB 100	Biostatistics                  [A00] (Rifkin)
BIEB 102	Intro Eclgy/Organisms&Habitats [A00] (Shurin)
BIEB 121	Ecology Laboratory             [A00] (Henter)
BIEB 126	Plant Ecology                  [A00] (Kohn)
BIEB 174	Ecosystems and Global Change   [A00] (Cleland)
BILD   1	The Cell                       [A00] (Mel)
BILD   1	The Cell                       [B00] (Reuther)
BILD   2	Multicellular Life             [A00] (Burg)
BILD   3	Organismic&Evolutionary Biol   [A00] (Stockwell)
BILD   3	Organismic&Evolutionary Biol   [B00] (Stockwell)
BILD   4	Introductory Biology Lab       [A00] (Lo)
BILD   4	Introductory Biology Lab       [B00] (Lo)
BILD   4	Introductory Biology Lab       [C00] (Mel)
BILD  10	Fundamental Concepts/Modrn Bio [A00] (Burg)
BILD  26	Human Physiology               [A00] (Fortes)
BILD  87	Freshman Seminar               [A00] (Saier)
BILD  87	Freshman Seminar               [B00] (Saier)
BILD  96	Biology: Honors Seminar        [A00] (Butler)
BIMM 100	Molecular Biology              [A00] (Lykke
BIMM 100	Molecular Biology              [B00] (Pasquinelli)
BIMM 101	Recombinant DNA Techniques     [A00] (Bozinovic)
BIMM 101	Recombinant DNA Techniques     [B00] (Herndon)
BIMM 101	Recombinant DNA Techniques     [C00] (Grossman)
BIMM 101	Recombinant DNA Techniques     [D00] (Day)
BIMM 101	Recombinant DNA Techniques     [E00] (McDonnell)
BIMM 101	Recombinant DNA Techniques     [F00] (Reuther)
BIMM 110	Molecular Basis/Human Disease  [A00] (Tour)
BIMM 120	Microbiology                   [A00] (Pirino)
BIMM 121	Laboratory in Microbiology     [A00] (Gustafson
BIMM 121	Laboratory in Microbiology     [B00] (Pirino)
BIMM 140	Quantitative Principles in Bio [A00] (Suel)
BIMM 171	Genomics Research Initiative   [A00] (Pogliano)
BIMM 171A	Genomics Research Init Lab I   [A00] (Pogliano)
BIMM 194	Adv Topics
BIMM 194	Adv Topics
BIMM 194	Adv Topics
BIOM 200A	Molecules to Organisms:Concept [A00] (Corbett)
BIOM 200B	Molecules
BIOM 201	Seminars in Biomed Research    [A00] (Field)
BIOM 202	Biomed Sci Research Rotation   [A00] (Desai)
BIOM 218	Current Topics in Anthropogeny [A00] (Gagneux)
BIOM 219	Ethics in Scientific Research  [A00] (Kalichman)
BIOM 225	Introduction to Anthropogeny   [A00] (Gagneux)
BIOM 242	Seminar in Genetics            [A00] (Hamilton)
BIOM 246	Current Literatre/Glycobiology [A00] (Bode)
BIOM 294	Pharm&Molec Bio Journal Club   [A00] (Brown)
BIOM 295	Pharmacology Research Discussn [A00] (Brown)
BIOM 296	Directed Reading               [001] (Yaksh)
BIOM 298	Directed Study                 [001] (Abagyan)
BIOM 298	Directed Study                 [002] (Achim)
BIOM 298	Directed Study                 [003] (Ackerman)
BIOM 298	Directed Study                 [004] (Adams)
BIOM 298	Directed Study                 [005] (Ahrens)
BIOM 298	Directed Study                 [006] (Almutairi)
BIOM 298	Directed Study                 [007] (Amaro)
BIOM 298	Directed Study                 [008] (Ayyagari)
BIOM 298	Directed Study                 [009] (Bandeira)
BIOM 298	Directed Study                 [010] (Barrett)
BIOM 298	Directed Study                 [011] (Bejar)
BIOM 298	Directed Study                 [012] (Bode)
BIOM 298	Directed Study                 [013] (Bodmer)
BIOM 298	Directed Study                 [014] (Boss)
BIOM 298	Directed Study                 [015] (Bottini)
BIOM 298	Directed Study                 [016] (Brown)
BIOM 298	Directed Study                 [017] (Buck)
BIOM 298	Directed Study                 [018] (Bui)
BIOM 298	Directed Study                 [019] (Burkart)
BIOM 298	Directed Study                 [020] (Lim)
BIOM 298	Directed Study                 [021] (Calcutt)
BIOM 298	Directed Study                 [022] (Cavenee)
BIOM 298	Directed Study                 [023] (Chang)
BIOM 298	Directed Study                 [024] (Chang)
BIOM 298	Directed Study                 [025] (Chen)
BIOM 298	Directed Study                 [026] (Cheresh)
BIOM 298	Directed Study                 [027] (Cherqui)
BIOM 298	Directed Study                 [028] (Chi)
BIOM 298	Directed Study                 [029] (Chojkier)
BIOM 298	Directed Study                 [030] (Chun)
BIOM 298	Directed Study                 [031] (Cleveland)
BIOM 298	Directed Study                 [032] (Corbett)
BIOM 298	Directed Study                 [033] (Courtneidge)
BIOM 298	Directed Study                 [034] (Croft)
BIOM 298	Directed Study                 [035] (Crotty)
BIOM 298	Directed Study                 [036] (Daneman)
BIOM 298	Directed Study                 [037] (Daugherty)
BIOM 298	Directed Study                 [038] (DeMaio)
BIOM 298	Directed Study                 [039] (Dennis)
BIOM 298	Directed Study                 [040] (Desai)
BIOM 298	Directed Study                 [041] (Devaraj)
BIOM 298	Directed Study                 [042] (Dewji)
BIOM 298	Directed Study                 [043] (Dixon)
BIOM 298	Directed Study                 [044] (Donoghue)
BIOM 298	Directed Study                 [045] (Dorrestein)
BIOM 298	Directed Study                 [046] (Dowdy)
BIOM 298	Directed Study                 [047] (Ellisman)
BIOM 298	Directed Study                 [048] (Engler)
BIOM 298	Directed Study                 [049] (Ernst)
BIOM 298	Directed Study                 [050] (Esko)
BIOM 298	Directed Study                 [051] (Evans)
BIOM 298	Directed Study                 [052] (Evans)
BIOM 298	Directed Study                 [053] (Farley)
BIOM 298	Directed Study                 [054] (Farquhar)
BIOM 298	Directed Study                 [055] (Feng)
BIOM 298	Directed Study                 [056] (Ferro
BIOM 298	Directed Study                 [057] (Field)
BIOM 298	Directed Study                 [058] (Frazer)
BIOM 298	Directed Study                 [059] (Freeze)
BIOM 298	Directed Study                 [060] (Friedmann)
BIOM 298	Directed Study                 [061] (Fu)
BIOM 298	Directed Study                 [062] (Fu)
BIOM 298	Directed Study                 [063] (Fukuda)
BIOM 298	Directed Study                 [064] (Furnari)
BIOM 298	Directed Study                 [065] (Gagneux)
BIOM 298	Directed Study                 [066] (Gallo)
BIOM 298	Directed Study                 [067] (Gaulton)
BIOM 298	Directed Study                 [068] (Gerwick)
BIOM 298	Directed Study                 [069] (Ghosh)
BIOM 298	Directed Study                 [070] (Ghosh)
BIOM 298	Directed Study                 [071] (Ghosh)
BIOM 298	Directed Study                 [072] (Gilson)
BIOM 298	Directed Study                 [073] (Ginsberg)
BIOM 298	Directed Study                 [074] (Glass)
BIOM 298	Directed Study                 [075] (Gleeson)
BIOM 298	Directed Study                 [076] (Godula)
BIOM 298	Directed Study                 [077] (Goldrath)
BIOM 298	Directed Study                 [078] (Goldstein)
BIOM 298	Directed Study                 [079] (Gonias)
BIOM 298	Directed Study                 [080] (Gonzalez)
BIOM 298	Directed Study                 [081] (Guan)
BIOM 298	Directed Study                 [082] (Guatelli)
BIOM 298	Directed Study                 [083] (Gustafsson)
BIOM 298	Directed Study                 [084] (Gutkind)
BIOM 298	Directed Study                 [085] (Haddad)
BIOM 298	Directed Study                 [086] (Hagood)
BIOM 298	Directed Study                 [087] (Hamilton)
BIOM 298	Directed Study                 [088] (Handel)
BIOM 298	Directed Study                 [089] (Hanein)
BIOM 298	Directed Study                 [090] (Hargens)
BIOM 298	Directed Study                 [091] (Hedrick)
BIOM 298	Directed Study                 [092] (Hnasko)
BIOM 298	Directed Study                 [093] (Hogan)
BIOM 298	Directed Study                 [094] (Hook)
BIOM 298	Directed Study                 [095] (Howell)
BIOM 298	Directed Study                 [096] (Staff)
BIOM 298	Directed Study                 [097] (Hunter)
BIOM 298	Directed Study                 [098] (Sebat)
BIOM 298	Directed Study                 [099] (Ideker)
BIOM 298	Directed Study                 [100] (Insel)
BIOM 298	Directed Study                 [200] (Stupack)
BIOM 299	Independent Study              [001] (Abagyan)
BIOM 299	Independent Study              [002] (Achim)
BIOM 299	Independent Study              [003] (Ackerman)
BIOM 299	Independent Study              [004] (Adams)
BIOM 299	Independent Study              [005] (Ahrens)
BIOM 299	Independent Study              [006] (Almutairi)
BIOM 299	Independent Study              [007] (Amaro)
BIOM 299	Independent Study              [008] (Ayyagari)
BIOM 299	Independent Study              [009] (Bandeira)
